STATION_ID,variable,min,mean,median,max
1BCRO009.79,NITROGEN_TOTAL,0.36,0.4681159420289855,0.45,1.01
1BNTH043.48,NITROGEN_TOTAL,0.11,0.19314285714285714,0.16,0.4
1BNTH045.36,NITROGEN_TOTAL,0.1,0.17857142857142858,0.16,0.39
1BSKD003.18,NITROGEN_TOTAL,0.17,0.4074358974358974,0.35,0.96
1BSTY023.05,NITROGEN_TOTAL,0.18,0.37966666666666665,0.38,0.64
1BXCE000.63,NITROGEN_TOTAL,0.35,0.4994202898550725,0.47,1.77
1BXEF000.23,NITROGEN_TOTAL,2.7,5.170459770114943,4.56,8.3
2-APP020.23,NITROGEN_TOTAL,0.1,0.5768055555555556,0.57,1.11
2-APP023.27,NITROGEN_TOTAL,0.37,0.5810869565217391,0.56,0.97
2-APP026.67,NITROGEN_TOTAL,0.42,0.5843478260869566,0.56,0.85
2-APP028.58,NITROGEN_TOTAL,0.42,0.6284375,0.61,0.92
2-BRI010.78,NITROGEN_TOTAL,0.34,0.4923529411764706,0.47,0.86
2-BRI013.12,NITROGEN_TOTAL,0.2966666666666667,0.5287581699346405,0.52,0.89
2-BVR002.19,NITROGEN_TOTAL,0.33,0.5387619047619048,0.52,1.19
2-CFK004.34,NITROGEN_TOTAL,0.26,1.01822695035461,0.97,1.75
2-CHK025.15,NITROGEN_TOTAL,0.47,0.7703968253968254,0.73,1.18
